global_id,Spectral,Spectral_dummy,agg,agg_pca
111016.0,1,0,2,1
111037.0,1,0,2,1
111039.0,1,0,0,2
111041.0,1,0,0,1
111055.0,1,0,0,1
111061.0,0,1,2,2
111097.0,0,1,2,0
111098.0,0,1,1,0
111117.0,1,0,0,1
111140.0,1,0,0,2
111148.0,0,1,1,0
111163.0,0,1,1,0
111176.0,1,0,0,2
111180.0,0,1,1,0
111181.0,0,1,1,0
111186.0,1,0,0,1
111208.0,0,1,1,0
111246.0,1,0,0,1
111263.0,1,0,2,1
111278.0,1,0,0,1
111281.0,0,1,1,0
111313.0,1,0,0,1
111403.0,0,1,1,0
111436.0,1,0,0,1
111483.0,1,0,0,2
111573.0,1,0,0,1
111583.0,0,1,1,0
111586.0,0,1,1,0
111587.0,1,0,0,1
111590.0,1,0,0,1
111592.0,1,0,0,1
111599.0,1,0,0,1
111643.0,1,0,0,1
111694.0,1,0,0,1
111707.0,1,0,0,1
111746.0,0,1,2,1
111801.0,0,1,1,0
111876.0,0,1,1,0
111881.0,1,0,0,1
111979.0,0,1,1,0
111996.0,1,0,0,1
112097.0,0,1,2,1
112135.0,0,1,2,0
112169.0,1,0,2,1
112189.0,0,1,1,0
112200.0,0,1,1,0
112206.0,0,1,2,0
112207.0,1,0,0,1
112212.0,0,1,2,0
112213.0,0,1,2,0
112218.0,1,0,2,1
112232.0,1,0,0,1
112248.0,0,1,1,0
112263.0,2,2,2,2
112266.0,1,0,0,1
112292.0,1,0,2,1
112295.0,1,0,0,1
112298.0,1,0,0,1
112302.0,0,1,2,0
112313.0,0,1,1,0
112318.0,2,2,2,2
112321.0,2,2,2,2
112323.0,1,0,0,1
112381.0,1,0,0,1
112407.0,0,1,2,0
112428.0,1,0,2,1
112448.0,0,1,1,0
112456.0,0,1,1,0
112468.0,0,1,2,1
112566.0,0,1,1,0
112707.0,1,0,2,1
112718.0,0,1,0,1
112725.0,0,1,1,0
112726.0,0,0,1,0
112729.0,1,0,2,2
112734.0,0,0,2,1
112742.0,0,1,1,0
112744.0,0,1,1,0
112751.0,0,1,1,0
112771.0,0,1,2,1
112777.0,0,1,1,0
112785.0,0,1,1,0
112802.0,0,1,2,0
112807.0,0,1,2,0
112813.0,0,1,2,0
112819.0,1,0,2,1
112820.0,0,1,2,0
112822.0,0,1,1,0
112838.0,0,1,1,0
112849.0,0,1,1,0
112910.0,1,0,0,1
112913.0,1,0,0,1
112916.0,1,0,0,1
112925.0,1,0,0,2
112929.0,1,0,0,1
112934.0,1,0,0,1
112950.0,0,1,1,0
113007.0,0,1,2,0
113017.0,1,0,0,1
113019.0,1,0,0,1
113020.0,1,0,0,1
113030.0,1,0,0,1
113053.0,1,0,0,1
113072.0,2,2,2,2
113086.0,1,0,0,1
113093.0,1,0,2,2
113119.0,0,1,2,0
113141.0,0,1,2,1
113143.0,1,0,0,1
113170.0,0,1,2,1
113205.0,1,0,0,1
113208.0,2,0,2,2
113223.0,1,0,0,1
113244.0,0,1,2,0
113263.0,2,2,1,2
113316.0,0,1,1,0
113317.0,0,1,1,0
113338.0,0,1,1,0
113346.0,0,1,1,0
113351.0,0,1,1,0
113352.0,0,1,1,1
113353.0,1,0,0,1
113355.0,0,1,1,0
113356.0,0,1,1,0
113358.0,0,1,1,0
113366.0,0,1,1,0
113367.0,0,1,1,0
113421.0,0,1,1,0
113486.0,0,1,2,0
113494.0,0,1,0,0
113495.0,1,0,2,1
113502.0,0,1,1,0
113504.0,1,0,0,1
113515.0,0,1,1,0
113539.0,0,1,1,0
113619.0,0,1,2,0
113630.0,0,1,1,0
113675.0,0,1,2,0
113689.0,0,1,2,0
113767.0,1,0,0,2
113774.0,0,1,1,0
113799.0,0,1,1,0
113802.0,1,0,0,1
113807.0,0,1,1,0
113877.0,2,2,2,2
113878.0,0,1,1,0
113902.0,2,0,0,2
113907.0,2,2,2,2
113917.0,0,0,2,1
113921.0,1,0,0,1
113928.0,2,2,2,2
113929.0,0,1,1,0
113930.0,1,0,0,2
113936.0,2,2,2,2
113938.0,2,2,2,2
113939.0,0,1,1,0
114005.0,1,0,0,1
114042.0,1,0,0,2
114043.0,1,0,0,1
114054.0,1,0,0,1
114081.0,1,0,0,1
114089.0,0,1,1,0
114120.0,0,1,1,0
114126.0,0,1,1,0
114132.0,0,0,2,1
114220.0,1,0,0,1
114228.0,1,0,0,1
114245.0,0,1,1,0
114248.0,0,1,2,0
114255.0,0,1,1,0
114264.0,2,2,0,2
114273.0,2,2,0,2
114295.0,0,1,1,0
114297.0,1,0,0,1
114303.0,0,1,2,0
114313.0,2,2,2,2
114318.0,0,1,1,0
114339.0,0,1,1,0
114369.0,1,0,0,1
114412.0,1,0,0,1
114475.0,2,2,2,2
114476.0,2,2,2,2
114487.0,2,2,2,2
114491.0,0,1,1,0
114515.0,1,0,2,1
114517.0,0,1,1,0
114529.0,1,0,0,1
114539.0,0,1,1,0
114555.0,0,1,1,0
114575.0,0,2,0,2
114618.0,0,1,1,0
114629.0,1,0,0,1
114650.0,1,0,0,1
114756.0,2,2,2,2
114772.0,1,0,2,1
111018.0,1,0,2,1
111021.0,0,1,1,0
111022.0,0,1,1,0
111023.0,1,0,0,1
111024.0,0,1,2,1
111045.0,2,0,0,2
111054.0,2,2,2,2
111059.0,0,1,1,0
111062.0,2,2,2,2
111064.0,1,0,2,1
111071.0,0,1,1,0
111084.0,0,1,1,0
111085.0,0,1,1,0
111089.0,1,0,0,1
111093.0,1,0,0,2
111105.0,1,0,2,1
111114.0,0,1,1,0
111121.0,1,0,2,2
111122.0,0,1,2,1
111131.0,1,0,2,1
111133.0,0,1,1,0
111136.0,0,1,1,0
111150.0,1,0,0,1
111157.0,0,1,1,0
111159.0,1,0,0,1
111172.0,0,1,2,0
111174.0,1,0,2,1
111179.0,0,1,1,0
111187.0,2,0,2,1
111189.0,1,0,0,1
111191.0,0,1,2,0
111192.0,0,1,1,0
111196.0,1,0,0,1
111199.0,0,1,1,0
111201.0,0,1,1,0
111204.0,0,1,1,0
111227.0,0,1,2,0
111228.0,1,0,0,2
111229.0,1,0,0,1
111231.0,1,0,0,1
111233.0,2,0,2,2
111237.0,2,0,2,2
111242.0,1,0,2,1
111264.0,0,1,1,0
111272.0,1,0,0,2
111274.0,0,1,1,0
111277.0,1,0,0,1
111279.0,0,1,1,0
111286.0,0,1,2,2
111287.0,1,0,2,1
111294.0,1,0,0,1
111300.0,1,0,0,1
111301.0,0,1,1,0
111339.0,1,0,2,1
111344.0,1,0,2,1
111345.0,2,0,0,2
111347.0,1,0,2,2
111348.0,0,1,1,0
111360.0,0,1,1,0
111364.0,1,0,0,1
111365.0,2,0,2,2
111377.0,0,1,1,0
111387.0,0,1,1,0
111394.0,0,1,1,0
111400.0,0,1,1,0
111401.0,0,1,2,0
111437.0,2,0,2,2
111448.0,1,0,2,1
111453.0,1,0,0,1
111454.0,1,0,0,1
111466.0,0,1,2,1
111468.0,1,0,0,1
111470.0,1,0,0,1
111473.0,1,0,0,1
111481.0,1,0,2,2
111485.0,1,0,0,1
111506.0,1,0,2,2
111510.0,0,1,2,2
111511.0,1,0,0,1
111512.0,0,1,2,0
111513.0,1,0,0,1
111521.0,1,0,0,1
111528.0,2,0,0,2
111529.0,1,0,0,1
111531.0,0,1,2,1
111535.0,1,0,0,1
111536.0,1,0,2,1
111548.0,0,1,1,0
111550.0,0,1,2,1
111553.0,1,0,0,1
111561.0,0,1,2,0
111567.0,0,1,1,0
111569.0,1,0,0,1
111570.0,0,1,2,0
111575.0,0,1,2,1
111579.0,1,0,0,1
111581.0,0,0,2,1
111597.0,1,0,0,1
111600.0,0,1,1,0
111603.0,0,1,1,0
111605.0,1,0,0,1
111610.0,1,0,1,1
111619.0,1,0,0,1
111627.0,1,0,0,1
111630.0,1,0,0,1
111635.0,0,1,1,0
111640.0,0,1,2,0
111654.0,1,0,1,1
111655.0,1,0,0,1
111656.0,1,0,0,1
111664.0,1,0,0,1
111678.0,0,1,2,1
111687.0,1,1,2,1
111692.0,0,1,2,0
111697.0,0,1,1,0
111700.0,0,1,1,0
111708.0,0,1,1,0
111710.0,2,2,1,2
111712.0,1,0,1,1
111713.0,1,0,0,2
111747.0,1,0,0,1
111748.0,1,0,0,1
111749.0,0,1,2,1
111750.0,1,0,0,1
111752.0,1,0,0,1
111754.0,1,0,0,1
111767.0,0,1,1,0
111784.0,1,0,0,2
111789.0,0,1,1,0
111799.0,1,0,2,2
111809.0,0,1,2,1
111810.0,1,0,0,1
111821.0,1,0,0,1
111824.0,0,1,1,0
111830.0,1,0,0,1
111837.0,1,0,0,1
111839.0,0,1,2,1
111848.0,1,0,2,2
111849.0,1,0,0,1
111856.0,0,1,1,0
111860.0,1,0,0,2
111874.0,1,0,2,1
111887.0,0,1,2,0
111890.0,2,0,2,1
111893.0,1,0,0,1
111896.0,0,1,2,1
111897.0,0,1,2,1
111900.0,1,0,2,2
111909.0,1,0,1,1
111914.0,0,1,1,0
111915.0,0,1,1,0
111918.0,1,0,0,1
111922.0,1,0,2,1
111923.0,0,1,2,0
111927.0,0,1,1,0
111929.0,1,0,0,1
111931.0,0,1,2,0
111934.0,1,0,2,1
111940.0,1,0,0,2
111945.0,1,0,1,1
111950.0,1,0,0,2
111953.0,1,0,0,1
111955.0,1,0,0,2
111959.0,1,0,0,1
111963.0,1,0,0,1
111972.0,1,0,0,1
111980.0,0,1,0,1
111983.0,0,1,1,0
112004.0,1,1,1,0
112006.0,1,0,0,1
112007.0,1,0,0,1
112008.0,2,0,2,2
112009.0,0,1,2,1
112010.0,0,0,1,2
112012.0,1,0,0,1
112014.0,1,0,2,1
112015.0,1,0,0,1
112018.0,0,1,2,0
112026.0,1,0,0,1
112027.0,0,1,2,0
112028.0,1,0,2,1
112031.0,1,0,0,1
112034.0,0,1,1,0
112035.0,1,0,2,1
112055.0,1,0,2,1
112061.0,1,0,0,1
112062.0,1,0,0,1
112063.0,1,0,0,1
112072.0,1,0,0,1
112074.0,1,0,0,2
112080.0,1,0,0,1
112082.0,0,1,1,0
112098.0,2,0,2,2
112119.0,1,0,0,1
112121.0,0,1,0,0
112134.0,1,0,2,1
112151.0,1,0,1,2
112153.0,0,1,1,0
112155.0,1,0,0,1
112163.0,0,1,1,0
112164.0,1,0,2,1
112165.0,0,1,1,0
112166.0,1,0,0,1
112167.0,1,0,0,1
112177.0,1,0,0,2
112182.0,1,0,0,2
112196.0,1,0,0,1
112202.0,1,0,0,1
112204.0,0,1,1,0
112220.0,0,1,2,2
112221.0,1,0,0,1
112223.0,1,0,2,1
112226.0,0,1,2,0
112227.0,0,1,1,0
112228.0,1,0,0,2
112230.0,0,1,1,0
112235.0,1,0,0,2
112257.0,0,1,1,0
112260.0,1,0,0,1
112261.0,1,0,0,1
112268.0,2,2,2,2
112269.0,2,0,0,2
112288.0,0,1,1,0
112290.0,1,0,2,2
112312.0,2,2,2,2
112314.0,2,2,2,2
112325.0,2,2,2,2
112327.0,2,2,2,2
112328.0,1,0,0,1
112329.0,2,2,2,2
112330.0,1,0,0,1
112334.0,2,2,2,2
112343.0,1,0,2,2
112344.0,2,2,2,2
112356.0,2,2,0,2
112359.0,2,2,2,2
112361.0,0,1,2,2
112363.0,2,0,2,2
112364.0,2,2,2,2
112368.0,0,1,1,0
112370.0,2,0,0,2
112373.0,2,0,0,2
112377.0,0,1,1,0
112379.0,2,2,2,2
112384.0,2,2,1,2
112389.0,0,1,2,0
112391.0,1,0,0,1
112402.0,2,2,0,2
112420.0,0,1,1,0
112429.0,1,0,2,1
112433.0,0,1,2,2
112434.0,0,1,1,0
112436.0,0,1,1,0
112438.0,0,0,2,0
112439.0,1,0,2,1
112440.0,2,0,2,1
112444.0,0,1,1,0
112445.0,0,1,1,0
112446.0,1,0,0,1
112447.0,0,1,2,0
112451.0,0,1,1,0
112457.0,0,1,0,1
112458.0,0,1,1,0
112461.0,1,0,1,1
112464.0,0,1,2,2
112477.0,0,1,1,0
112478.0,0,1,2,0
112485.0,0,1,2,1
112486.0,0,1,1,0
112487.0,1,0,0,1
112488.0,1,0,2,1
112495.0,0,1,1,0
112499.0,1,0,0,1
112502.0,1,0,0,0
112506.0,1,0,0,1
112511.0,0,1,1,0
112512.0,1,0,0,1
112514.0,0,1,1,0
112515.0,1,0,0,1
112519.0,0,1,2,0
112522.0,0,1,1,0
112525.0,1,0,0,1
112526.0,1,0,2,2
112530.0,0,1,1,0
112550.0,0,1,1,0
112555.0,0,1,2,1
112556.0,0,1,2,0
112560.0,0,1,1,0
112561.0,2,0,0,2
112564.0,0,1,1,0
112565.0,0,1,1,0
112568.0,1,0,0,1
112569.0,0,1,1,0
112575.0,1,0,0,2
112576.0,0,1,1,0
112582.0,0,1,1,0
112583.0,2,0,1,2
112585.0,0,1,1,0
112586.0,0,1,1,0
112589.0,0,0,2,1
112592.0,1,0,2,1
112593.0,0,0,2,2
112599.0,1,0,0,1
112601.0,0,0,2,0
112604.0,0,1,1,0
112608.0,0,1,1,0
112611.0,1,0,0,1
112613.0,0,1,1,0
112619.0,2,0,2,2
112622.0,0,1,1,0
112625.0,0,1,1,0
112627.0,1,0,0,1
112630.0,2,0,2,1
112633.0,2,2,2,2
112636.0,0,1,1,0
112639.0,0,1,1,0
112640.0,1,0,2,1
112650.0,0,1,1,0
112652.0,1,0,0,1
112659.0,1,0,2,2
112665.0,0,1,1,0
112670.0,0,1,1,0
112671.0,0,1,2,0
112674.0,1,0,0,1
112687.0,1,0,0,1
112690.0,0,1,1,0
112691.0,0,1,1,0
112700.0,2,0,2,2
112701.0,1,0,2,1
112702.0,0,1,1,0
112708.0,0,1,2,0
112712.0,0,1,1,0
112721.0,1,0,2,2
112722.0,0,1,1,0
112723.0,0,1,1,0
112724.0,0,1,1,0
112732.0,0,1,1,0
112733.0,0,1,1,0
112736.0,1,0,2,1
112748.0,1,0,2,2
112761.0,1,0,2,2
112769.0,0,1,1,0
112773.0,1,0,0,1
112780.0,0,0,2,1
112783.0,1,0,0,1
112789.0,0,1,1,0
112798.0,1,0,2,1
112805.0,1,0,0,1
112810.0,0,1,2,0
112814.0,0,1,1,0
112821.0,1,0,0,1
112835.0,0,0,2,1
112839.0,1,0,0,1
112840.0,0,1,1,0
112841.0,0,1,1,0
112845.0,1,0,0,2
112848.0,0,1,2,0
112851.0,0,1,1,0
112852.0,0,1,2,0
112858.0,0,1,1,0
112880.0,0,1,1,0
112888.0,0,1,2,0
112891.0,2,2,2,2
112901.0,1,0,0,1
112904.0,1,0,0,1
112908.0,1,0,0,1
112909.0,1,0,0,1
112919.0,1,0,1,2
112924.0,1,0,0,1
112926.0,1,0,0,1
112928.0,1,0,2,1
112930.0,1,0,0,1
112931.0,1,0,0,1
112933.0,1,0,0,1
112936.0,1,0,0,1
112944.0,1,0,0,1
112953.0,1,0,0,1
112956.0,1,0,0,1
112957.0,1,0,0,1
112958.0,1,0,0,1
112959.0,2,0,2,2
112964.0,1,0,0,2
112973.0,1,0,0,1
112974.0,1,0,0,1
112975.0,1,0,0,1
112978.0,2,2,1,2
112980.0,1,0,0,1
112985.0,1,0,0,1
112986.0,1,0,0,1
112990.0,1,0,0,2
112993.0,1,0,0,1
112994.0,0,1,1,0
112996.0,0,0,1,0
112997.0,1,0,0,1
112998.0,1,0,0,2
113001.0,1,0,0,1
113005.0,2,0,2,2
113008.0,1,0,0,1
113009.0,0,1,2,1
113011.0,2,0,0,2
113012.0,1,0,0,1
113014.0,1,0,0,1
113016.0,1,0,0,2
113021.0,1,0,0,1
113022.0,0,1,2,1
113024.0,1,0,0,1
113027.0,2,0,0,2
113032.0,1,0,0,1
113038.0,2,2,2,2
113042.0,1,0,0,1
113045.0,1,0,0,1
113050.0,0,1,1,0
113052.0,1,0,1,1
113055.0,1,0,0,1
113058.0,1,0,0,1
113063.0,1,0,0,1
113064.0,1,0,0,1
113065.0,1,0,0,1
113080.0,0,1,1,0
113089.0,1,0,0,1
113090.0,1,0,0,1
113094.0,1,0,0,1
113097.0,2,0,2,2
113099.0,1,0,0,1
113100.0,1,0,0,1
113104.0,1,0,0,1
113106.0,1,0,0,1
113107.0,1,0,0,1
113108.0,1,0,0,1
113109.0,1,0,0,1
113114.0,1,0,0,1
113116.0,1,0,0,1
113117.0,1,0,0,1
113124.0,1,0,1,2
113125.0,1,0,0,1
113128.0,1,0,0,1
113129.0,1,0,0,1
113130.0,1,0,0,1
113131.0,0,1,2,0
113136.0,1,0,0,2
113145.0,1,0,0,1
113147.0,1,0,0,1
113150.0,2,0,0,2
113151.0,1,0,0,1
113153.0,1,0,0,1
113154.0,0,1,2,1
113156.0,0,1,2,1
113161.0,1,0,0,1
113163.0,1,0,0,1
113167.0,1,0,0,1
113168.0,1,0,0,1
113173.0,1,0,0,1
113177.0,1,0,0,1
113184.0,1,0,0,1
113185.0,0,1,2,1
113195.0,1,0,0,1
113200.0,1,1,0,1
113201.0,1,0,0,1
113203.0,0,1,2,0
113204.0,1,0,0,2
113206.0,1,0,0,1
113209.0,1,0,0,1
113210.0,1,0,0,1
113211.0,1,0,0,1
113214.0,1,0,0,1
113215.0,1,0,0,1
113217.0,1,0,0,1
113220.0,1,0,0,1
113221.0,0,1,1,0
113229.0,1,0,0,1
113231.0,1,0,0,1
113234.0,1,0,0,1
113235.0,1,0,0,1
113238.0,1,0,0,1
113240.0,1,0,0,1
113241.0,1,0,0,1
113243.0,1,0,0,1
113246.0,1,0,0,1
113247.0,1,0,0,1
113248.0,1,0,0,1
113250.0,1,0,0,1
113251.0,1,0,0,1
113253.0,1,0,0,1
113255.0,1,0,0,1
113262.0,1,0,0,1
113264.0,1,0,0,2
113286.0,0,1,1,0
113288.0,1,0,0,1
113290.0,0,1,1,0
113295.0,1,0,2,1
113315.0,0,1,2,1
113319.0,1,0,0,2
113331.0,0,1,1,0
113334.0,1,0,0,1
113342.0,1,1,0,1
113343.0,0,1,1,0
113347.0,0,1,1,0
113349.0,0,1,1,0
113350.0,0,1,1,0
113364.0,0,1,1,0
113365.0,0,1,1,0
113374.0,0,1,2,0
113375.0,2,2,2,2
113389.0,0,1,1,0
113391.0,0,1,1,0
113396.0,0,1,1,0
113399.0,0,1,1,0
113402.0,0,1,1,0
113404.0,0,1,1,0
113408.0,0,1,1,0
113411.0,0,1,1,0
113412.0,0,1,1,0
113414.0,0,1,2,0
113420.0,0,1,2,0
113424.0,0,1,1,0
113426.0,0,1,1,0
113429.0,0,1,1,0
113431.0,0,1,1,0
113435.0,0,1,2,0
113437.0,0,1,1,0
113440.0,0,1,2,0
113441.0,0,1,1,0
113444.0,0,0,2,1
113445.0,0,1,1,0
113446.0,0,1,1,0
113449.0,0,1,2,0
113469.0,0,1,2,0
113470.0,0,1,1,0
113475.0,0,1,1,0
113479.0,0,1,1,0
113480.0,0,1,1,0
113487.0,2,2,1,2
113488.0,0,1,2,0
113490.0,1,0,0,1
113491.0,0,1,1,1
113500.0,1,0,0,1
113503.0,0,1,1,0
113506.0,1,0,0,1
113507.0,0,1,1,0
113509.0,0,1,1,0
113516.0,1,0,0,1
113519.0,0,0,1,0
113527.0,0,1,2,0
113534.0,2,2,0,2
113537.0,0,1,1,0
113543.0,0,1,1,0
113550.0,0,1,1,0
113551.0,0,1,1,0
113554.0,0,1,1,0
113563.0,0,1,2,0
113573.0,0,1,2,0
113575.0,0,1,2,0
113582.0,0,1,1,0
113583.0,0,1,2,0
113584.0,0,1,1,0
113586.0,0,1,1,0
113587.0,0,1,1,0
113588.0,0,1,1,0
113589.0,0,1,1,0
113591.0,0,1,1,0
113597.0,2,0,2,1
113605.0,0,1,1,0
113607.0,0,1,2,0
113621.0,0,1,1,0
113636.0,0,1,1,0
113642.0,0,1,1,0
113647.0,0,1,1,0
113649.0,0,1,1,0
113650.0,0,1,1,0
113670.0,0,1,1,0
113671.0,0,1,1,0
113672.0,0,1,1,0
113676.0,0,1,1,0
113677.0,0,1,1,0
113680.0,0,1,1,0
113685.0,1,0,0,1
113687.0,0,1,1,0
113705.0,0,1,1,0
113707.0,0,1,2,0
113710.0,1,0,0,1
113716.0,1,0,0,1
113722.0,0,1,2,0
113723.0,0,1,1,0
113724.0,1,0,0,1
113728.0,0,1,2,0
113732.0,0,1,2,0
113734.0,0,1,1,0
113735.0,0,1,2,0
113737.0,2,2,2,2
113738.0,2,2,1,2
113747.0,0,1,1,0
113763.0,1,0,0,1
113784.0,0,1,1,0
113785.0,0,1,2,0
113805.0,0,1,1,0
113809.0,2,2,2,2
113820.0,0,1,1,0
113830.0,0,1,1,0
113835.0,0,1,1,0
113838.0,0,1,1,0
113840.0,0,1,1,0
113843.0,0,1,1,0
113851.0,0,1,1,0
113852.0,1,0,0,1
113854.0,0,1,1,0
113856.0,0,1,0,0
113860.0,0,1,1,0
113861.0,1,0,0,1
113862.0,0,1,1,0
113867.0,2,2,2,2
113870.0,0,1,1,0
113876.0,2,2,2,2
113879.0,0,1,2,0
113880.0,0,1,1,0
113886.0,2,2,2,2
113888.0,2,2,0,2
113895.0,2,2,2,2
113896.0,1,0,0,2
113897.0,2,0,0,2
113923.0,2,2,2,2
113927.0,0,1,2,2
113937.0,0,1,1,0
113943.0,2,2,0,2
113947.0,0,1,1,0
113950.0,0,1,1,0
113970.0,1,0,0,2
113977.0,1,0,0,1
113993.0,0,1,1,0
113997.0,1,0,0,2
113998.0,2,2,2,2
114002.0,1,0,0,1
114003.0,0,1,1,0
114006.0,2,2,2,2
114009.0,0,1,1,0
114010.0,2,2,1,2
114015.0,0,1,1,0
114018.0,2,2,2,2
114020.0,0,1,2,1
114026.0,0,1,1,0
114028.0,2,2,0,2
114031.0,0,1,2,2
114034.0,2,0,2,1
114051.0,1,0,0,1
114052.0,1,0,0,2
114058.0,2,0,0,2
114059.0,0,1,0,0
114060.0,0,1,1,0
114062.0,1,0,0,1
114067.0,0,1,1,0
114071.0,1,0,0,1
114072.0,1,0,0,1
114075.0,0,1,1,0
114077.0,0,1,1,0
114090.0,2,2,0,2
114092.0,0,1,1,0
114095.0,0,1,1,0
114101.0,2,2,2,2
114102.0,1,0,0,1
114107.0,0,2,0,2
114115.0,2,0,2,2
114117.0,2,2,2,2
114118.0,2,2,2,2
114119.0,2,2,2,2
114127.0,1,0,0,2
114128.0,2,2,2,2
114133.0,2,2,2,2
114135.0,1,0,0,2
114139.0,1,0,2,1
114140.0,1,0,0,1
114141.0,1,1,0,1
114145.0,0,1,1,0
114147.0,2,0,2,2
114148.0,0,1,1,0
114149.0,2,2,2,2
114151.0,2,2,2,2
114155.0,2,2,2,2
114156.0,1,0,0,1
114164.0,0,1,2,0
114165.0,1,0,0,1
114174.0,0,1,1,0
114175.0,0,1,1,0
114176.0,1,0,0,2
114179.0,2,2,2,2
114180.0,1,0,0,1
114184.0,1,0,0,1
114189.0,1,0,0,1
114192.0,1,0,0,1
114207.0,2,2,2,2
114210.0,1,0,0,2
114211.0,2,2,2,2
114212.0,2,2,2,2
114213.0,0,1,1,0
114214.0,2,0,0,2
114221.0,0,1,1,0
114223.0,1,0,0,1
114224.0,2,2,2,2
114225.0,0,1,1,0
114234.0,0,1,2,0
114238.0,2,2,0,2
114239.0,0,1,1,0
114251.0,1,0,0,1
114257.0,1,0,0,1
114263.0,1,0,0,2
114267.0,2,0,2,1
114272.0,1,0,0,1
114276.0,2,2,2,2
114285.0,0,1,1,0
114292.0,2,2,1,2
114294.0,0,1,1,0
114296.0,1,0,0,1
114300.0,1,0,0,1
114301.0,0,1,1,0
114304.0,2,2,2,2
114306.0,0,1,1,0
114307.0,2,2,2,2
114308.0,0,1,1,0
114309.0,2,2,2,2
114310.0,2,2,0,2
114320.0,2,2,0,2
114322.0,1,0,0,2
114324.0,2,2,2,2
114328.0,1,0,0,1
114337.0,1,0,0,1
114345.0,1,0,0,1
114361.0,0,1,1,0
114362.0,2,2,2,2
114370.0,2,0,2,1
114371.0,2,2,2,2
114380.0,0,1,1,0
114382.0,0,1,1,0
114385.0,1,0,0,1
114387.0,1,0,0,1
114390.0,1,0,0,1
114391.0,0,1,2,1
114392.0,0,1,1,0
114396.0,0,1,1,0
114398.0,1,0,0,1
114399.0,1,0,0,1
114402.0,2,2,2,2
114403.0,0,1,1,0
114406.0,2,2,2,2
114407.0,2,0,0,2
114410.0,1,0,0,1
114414.0,2,0,2,2
114426.0,2,2,0,2
114429.0,2,0,0,2
114433.0,1,0,0,1
114438.0,1,0,0,1
114439.0,0,1,2,0
114446.0,2,2,2,2
114451.0,1,0,2,2
114456.0,0,1,1,0
114458.0,2,2,2,2
114459.0,2,2,2,2
114460.0,1,0,0,1
114464.0,2,2,2,2
114469.0,0,1,1,0
114473.0,0,1,2,0
114479.0,0,1,1,0
114481.0,2,2,2,2
114483.0,0,1,1,0
114484.0,0,1,2,1
114485.0,0,1,1,0
114490.0,1,0,0,1
114497.0,0,1,1,0
114498.0,0,1,1,0
114499.0,0,1,1,0
114500.0,0,1,1,0
114502.0,1,0,0,1
114503.0,0,1,1,0
114506.0,0,1,1,0
114507.0,0,1,1,0
114508.0,2,2,2,2
114511.0,1,0,0,1
114528.0,1,0,0,1
114530.0,0,1,1,0
114538.0,0,1,2,0
114543.0,2,2,2,2
114547.0,0,1,1,0
114548.0,0,1,1,0
114549.0,1,0,0,1
114550.0,0,1,1,0
114557.0,0,1,1,0
114560.0,2,0,2,2
114563.0,0,1,1,0
114567.0,2,0,2,2
114571.0,2,0,0,2
114572.0,0,1,1,0
114588.0,1,0,0,1
114591.0,2,2,2,2
114597.0,1,0,0,1
114598.0,0,1,1,0
114604.0,1,0,0,2
114606.0,0,1,1,0
114613.0,0,1,1,0
114619.0,2,2,2,2
114622.0,1,0,0,1
114625.0,0,1,1,0
114628.0,2,2,0,2
114633.0,1,0,2,2
114636.0,2,2,2,2
114638.0,2,2,2,2
114639.0,0,1,1,0
114640.0,0,1,1,0
114642.0,1,0,0,2
114649.0,0,1,1,0
114651.0,0,1,1,0
114654.0,1,0,0,1
114655.0,1,0,0,1
114657.0,0,1,1,0
114658.0,1,0,2,1
114659.0,2,2,2,2
114660.0,0,1,1,0
114661.0,2,0,2,2
114664.0,2,2,0,2
114671.0,1,0,0,1
114673.0,0,1,1,0
114676.0,2,2,0,2
114677.0,0,1,1,0
114678.0,0,1,1,0
114680.0,0,1,1,0
114681.0,2,2,2,2
114682.0,2,0,0,2
114689.0,0,1,2,1
114692.0,0,1,1,0
114707.0,0,1,1,0
114718.0,2,2,2,2
114728.0,1,0,0,1
114733.0,1,0,0,1
114774.0,1,0,0,1
114778.0,1,0,0,2
114779.0,2,2,1,2
114780.0,0,1,1,0
114795.0,1,0,0,1
